epsilon_exact,epsilon,a_exact,c_exact,lambda_min_exact,loss_L,p_cert,p_cert_lower,p_cert_upper,p_rep,p_rep_lower,p_rep_upper,certified_width,certified_width_lower,certified_width_upper,theorem_applies,endpoint_kind,lower_p_endpoint_included,upper_p_endpoint_included,ensemble,exact_capacity_boundary
11/500,0.022,57121/62500,5379/62500,1/3,0.10320918297933243,0.90460364287591719,0.904603642875917194468949533988064837066909032713353759763615,0.904603642875917194468949533988064837066909032713353759763616,0.90644640692655841,0.906446406926558410909173439232639880994348490695302970481230,0.906446406926558410909173439232639880994348490695302970481231,0.0018427640506412164,0.001842764050641216440223905244575043927439457981949210717614,0.001842764050641216440223905244575043927439457981949210717615,True,interior,True,False,equally_weighted_Pauli_axes,False
9/400,0.0225,36481/40000,3519/40000,1/3,0.10545259117376319,0.90273480979329997,0.902734809793299972455657187762364313874078042415000008263486,0.902734809793299972455657187762364313874078042415000008263487,0.90460686236956192,0.904606862369561919355700227951055472431746383244329726628422,0.904606862369561919355700227951055472431746383244329726628423,0.0018720525762619469,0.001872052576261946900043040188691158557668340829329718364935,0.001872052576261946900043040188691158557668340829329718364936,True,interior,True,False,equally_weighted_Pauli_axes,False
23/1000,0.023,227529/250000,22471/250000,1/3,0.10769162441692578,0.90087744049555065,0.900877440495550646552049637063632515228690956275407586348830,0.900877440495550646552049637063632515228690956275407586348831,0.90277833465282973,0.902778334652829728239244249776946505009764168144316750117133,0.902778334652829728239244249776946505009764168144316750117134,0.0019008941572790817,0.001900894157279081687194612713313989781073211868909163768303,0.001900894157279081687194612713313989781073211868909163768304,True,interior,True,False,equally_weighted_Pauli_axes,False
47/2000,0.0235,908209/1000000,91791/1000000,1/3,0.10992629321638742,0.89903143214939990,0.899031432149399904766486702522384331879573281111572060105352,0.899031432149399904766486702522384331879573281111572060105353,0.90096072695256300,0.900960726952562997487514293485437600476192252178522527939366,0.900960726952562997487514293485437600476192252178522527939367,0.0019292948031630927,0.001929294803163092721027590963053268596618971066950467834013,0.001929294803163092721027590963053268596618971066950467834014,True,interior,True,False,equally_weighted_Pauli_axes,False
3/125,0.024,14161/15625,1464/15625,1/3,0.11215660803450444,0.89719668315721509,0.897196683157215088577500976269754072240371207295335204068822,0.897196683157215088577500976269754072240371207295335204068823,0.89915394358649101,0.899153943586491011634186000291323335787527019882560459466211,0.899153943586491011634186000291323335787527019882560459466212,0.0019572604292759231,0.001957260429275923056685024021569263547155812587225255397389,0.001957260429275923056685024021569263547155812587225255397390,True,interior,True,False,equally_weighted_Pauli_axes,False
49/2000,0.0245,904401/1000000,95599/1000000,1/3,0.11438257928867126,0.89537309313849009,0.895373093138490092992652299046402816505381683473641944932546,0.895373093138490092992652299046402816505381683473641944932547,0.89735788999709279,0.897357889997092789001768257046831994476871108176598537140402,0.897357889997092789001768257046831994476871108176598537140403,0.0019847968586026960,0.001984796858602696009115958000429177971489424702956592207855,0.001984796858602696009115958000429177971489424702956592207856,True,interior,True,False,equally_weighted_Pauli_axes,False
1/40,0.025,361/400,39/400,1/3,0.11660421735156766,0.89356056291166714,0.893560562911667143377358402992385282441363787455188012773827,0.893560562911667143377358402992385282441363787455188012773828,0.89557247273511388,0.895572472735113877953438506722127001075171307689878310985773,0.895572472735113877953438506722127001075171307689878310985774,0.0020119098234467346,0.002011909823446734576080103729741718633807520234690298211945,0.002011909823446734576080103729741718633807520234690298211946,True,interior,True,False,equally_weighted_Pauli_axes,False
51/2000,0.0255,900601/1000000,99399/1000000,1/3,0.11882153255140432,0.89175899447628353,0.891758994476283527108017571519202282593251841388898917594503,0.891758994476283527108017571519202282593251841388898917594504,0.89379759944337230,0.893797599443372298586287455480987323579379643246600938218985,0.893797599443372298586287455480987323579379643246600938218986,0.0020386049670887715,0.002038604967088771478269883961785040986127801857702020624481,0.002038604967088771478269883961785040986127801857702020624482,True,interior,True,False,equally_weighted_Pauli_axes,False
13/500,0.026,56169/62500,6331/62500,1/3,0.12103453517216672,0.88996829099543652,0.889968290995436522614014791316658274670188092480955015461019,0.889968290995436522614014791316658274670188092480955015461020,0.89203317884084773,0.892033178840847729150876185848100133679434328411382744945073,0.892033178840847729150876185848100133679434328411382744945074,0.0020648878454112065,0.002064887845411206536861394531441859009246235930427729484053,0.002064887845411206536861394531441859009246235930427729484054,True,interior,True,False,equally_weighted_Pauli_axes,False
53/2000,0.0265,896809/1000000,103191/1000000,1/3,0.12324323545385735,0.88818835677855993,0.888188356778559928497905875547408220583323471087502626613775,0.888188356778559928497905875547408220583323471087502626613776,0.89027912070704817,0.890279120707048173707771991446752450288563557894178322736512,0.890279120707048173707771991446752450288563557894178322736513,0.0020907639284882452,0.002090763928488245209866115899344229705240086806675696122736,0.002090763928488245209866115899344229705240086806675696122737,True,interior,True,False,equally_weighted_Pauli_axes,False
